INFO   | jvm 1    | 2016/12/22 16:30:45 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperManager$11.run(WrapperManager.java:4253)
INFO   | jvm 1    | 2016/12/22 16:30:45 | WrapperManager Error: Caused by: java.lang.NumberFormatException: For input string: "app_class{/app_method}"
INFO   | jvm 1    | 2016/12/22 16:30:45 | WrapperManager Error: 	at java.lang.NumberFormatException.forInputString(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:30:45 | WrapperManager Error: 	at java.lang.Integer.parseInt(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:30:45 | WrapperManager Error: 	at java.lang.Integer.parseInt(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:30:45 | WrapperManager Error: 	... 8 more
STATUS | wrapper  | 2016/12/22 16:30:47 | <-- Wrapper Stopped
ERROR  | wrapperm | 2016/12/22 16:31:05 | Unable to install the Order print service service - The specified service already exists. (0x431)
STATUS | wrapper  | 2016/12/22 16:31:29 | --> Wrapper Started as Service
STATUS | wrapper  | 2016/12/22 16:31:29 | Java Service Wrapper Community Edition 32-bit 3.5.30
STATUS | wrapper  | 2016/12/22 16:31:29 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2016/12/22 16:31:29 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2016/12/22 16:31:29 | 
WARN   | wrapper  | 2016/12/22 16:31:30 | ---------------------------------------------------------------------
WARN   | wrapper  | 2016/12/22 16:31:30 | The JVM is being launched with a debugger enabled and could possibly
WARN   | wrapper  | 2016/12/22 16:31:30 | be suspended.  To avoid unwanted shutdowns, timeouts will be
WARN   | wrapper  | 2016/12/22 16:31:30 | disabled, removing the ability to detect and restart frozen JVMs.
WARN   | wrapper  | 2016/12/22 16:31:30 | ---------------------------------------------------------------------
STATUS | wrapper  | 2016/12/22 16:31:30 | Launching a JVM...
INFO   | jvm 1    | 2016/12/22 16:31:30 | Listening for transport dt_socket at address: 8001
INFO   | jvm 1    | 2016/12/22 16:31:30 | WrapperManager: Initializing...
INFO   | jvm 1    | 2016/12/22 16:31:30 | WrapperSimpleApp Error: Unable to locate the class com.control.Main : java.lang.ClassNotFoundException: com.control.Main
INFO   | jvm 1    | 2016/12/22 16:31:30 | 
INFO   | jvm 1    | 2016/12/22 16:31:30 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2016/12/22 16:31:30 | WrapperManager Error: Error in WrapperListener.start callback.  java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2016/12/22 16:31:30 | WrapperManager Error: java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2016/12/22 16:31:30 | WrapperManager Error: 	at java.text.MessageFormat.makeFormat(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:31:30 | WrapperManager Error: 	at java.text.MessageFormat.applyPattern(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:31:30 | WrapperManager Error: 	at java.text.MessageFormat.<init>(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:31:30 | WrapperManager Error: 	at java.text.MessageFormat.format(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:31:30 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperResources.getString(WrapperResources.java:194)
INFO   | jvm 1    | 2016/12/22 16:31:30 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.showUsage(WrapperSimpleApp.java:597)
INFO   | jvm 1    | 2016/12/22 16:31:30 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.start(WrapperSimpleApp.java:441)
INFO   | jvm 1    | 2016/12/22 16:31:30 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperManager$11.run(WrapperManager.java:4253)
INFO   | jvm 1    | 2016/12/22 16:31:30 | WrapperManager Error: Caused by: java.lang.NumberFormatException: For input string: "app_class{/app_method}"
INFO   | jvm 1    | 2016/12/22 16:31:30 | WrapperManager Error: 	at java.lang.NumberFormatException.forInputString(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:31:30 | WrapperManager Error: 	at java.lang.Integer.parseInt(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:31:30 | WrapperManager Error: 	at java.lang.Integer.parseInt(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:31:30 | WrapperManager Error: 	... 8 more
STATUS | wrapper  | 2016/12/22 16:31:32 | <-- Wrapper Stopped
ERROR  | wrapperm | 2016/12/22 16:31:37 | Unable to install the Order print service service - The specified service already exists. (0x431)
ERROR  | wrapperm | 2016/12/22 16:31:59 | Unable to install the Order print service service - The specified service already exists. (0x431)
STATUS | wrapper  | 2016/12/22 16:32:00 | --> Wrapper Started as Service
STATUS | wrapper  | 2016/12/22 16:32:00 | Java Service Wrapper Community Edition 32-bit 3.5.30
STATUS | wrapper  | 2016/12/22 16:32:00 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2016/12/22 16:32:00 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2016/12/22 16:32:00 | 
WARN   | wrapper  | 2016/12/22 16:32:00 | ---------------------------------------------------------------------
WARN   | wrapper  | 2016/12/22 16:32:00 | The JVM is being launched with a debugger enabled and could possibly
WARN   | wrapper  | 2016/12/22 16:32:00 | be suspended.  To avoid unwanted shutdowns, timeouts will be
WARN   | wrapper  | 2016/12/22 16:32:00 | disabled, removing the ability to detect and restart frozen JVMs.
WARN   | wrapper  | 2016/12/22 16:32:00 | ---------------------------------------------------------------------
STATUS | wrapper  | 2016/12/22 16:32:00 | Launching a JVM...
INFO   | jvm 1    | 2016/12/22 16:32:01 | Listening for transport dt_socket at address: 8001
INFO   | jvm 1    | 2016/12/22 16:32:01 | WrapperManager: Initializing...
INFO   | jvm 1    | 2016/12/22 16:32:01 | WrapperSimpleApp Error: Unable to locate the class com.control.Main : java.lang.ClassNotFoundException: com.control.Main
INFO   | jvm 1    | 2016/12/22 16:32:01 | 
INFO   | jvm 1    | 2016/12/22 16:32:01 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2016/12/22 16:32:01 | WrapperManager Error: Error in WrapperListener.start callback.  java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2016/12/22 16:32:01 | WrapperManager Error: java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2016/12/22 16:32:01 | WrapperManager Error: 	at java.text.MessageFormat.makeFormat(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:32:01 | WrapperManager Error: 	at java.text.MessageFormat.applyPattern(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:32:01 | WrapperManager Error: 	at java.text.MessageFormat.<init>(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:32:01 | WrapperManager Error: 	at java.text.MessageFormat.format(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:32:01 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperResources.getString(WrapperResources.java:194)
INFO   | jvm 1    | 2016/12/22 16:32:01 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.showUsage(WrapperSimpleApp.java:597)
INFO   | jvm 1    | 2016/12/22 16:32:01 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.start(WrapperSimpleApp.java:441)
INFO   | jvm 1    | 2016/12/22 16:32:01 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperManager$11.run(WrapperManager.java:4253)
INFO   | jvm 1    | 2016/12/22 16:32:01 | WrapperManager Error: Caused by: java.lang.NumberFormatException: For input string: "app_class{/app_method}"
INFO   | jvm 1    | 2016/12/22 16:32:01 | WrapperManager Error: 	at java.lang.NumberFormatException.forInputString(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:32:01 | WrapperManager Error: 	at java.lang.Integer.parseInt(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:32:01 | WrapperManager Error: 	at java.lang.Integer.parseInt(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:32:01 | WrapperManager Error: 	... 8 more
STATUS | wrapper  | 2016/12/22 16:32:02 | <-- Wrapper Stopped
STATUS | wrapperm | 2016/12/22 16:32:13 | Order print service service removed.
STATUS | wrapperm | 2016/12/22 16:32:15 | Order print service service installed.
STATUS | wrapper  | 2016/12/22 16:32:15 | --> Wrapper Started as Service
STATUS | wrapper  | 2016/12/22 16:32:15 | Java Service Wrapper Community Edition 32-bit 3.5.30
STATUS | wrapper  | 2016/12/22 16:32:15 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2016/12/22 16:32:15 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2016/12/22 16:32:15 | 
WARN   | wrapper  | 2016/12/22 16:32:15 | ---------------------------------------------------------------------
WARN   | wrapper  | 2016/12/22 16:32:15 | The JVM is being launched with a debugger enabled and could possibly
WARN   | wrapper  | 2016/12/22 16:32:15 | be suspended.  To avoid unwanted shutdowns, timeouts will be
WARN   | wrapper  | 2016/12/22 16:32:15 | disabled, removing the ability to detect and restart frozen JVMs.
WARN   | wrapper  | 2016/12/22 16:32:15 | ---------------------------------------------------------------------
STATUS | wrapper  | 2016/12/22 16:32:15 | Launching a JVM...
INFO   | jvm 1    | 2016/12/22 16:32:16 | Listening for transport dt_socket at address: 8001
INFO   | jvm 1    | 2016/12/22 16:32:16 | WrapperManager: Initializing...
INFO   | jvm 1    | 2016/12/22 16:32:16 | WrapperSimpleApp Error: Unable to locate the class com.control.Main : java.lang.ClassNotFoundException: com.control.Main
INFO   | jvm 1    | 2016/12/22 16:32:16 | 
INFO   | jvm 1    | 2016/12/22 16:32:16 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2016/12/22 16:32:16 | WrapperManager Error: Error in WrapperListener.start callback.  java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2016/12/22 16:32:16 | WrapperManager Error: java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2016/12/22 16:32:16 | WrapperManager Error: 	at java.text.MessageFormat.makeFormat(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:32:16 | WrapperManager Error: 	at java.text.MessageFormat.applyPattern(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:32:16 | WrapperManager Error: 	at java.text.MessageFormat.<init>(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:32:16 | WrapperManager Error: 	at java.text.MessageFormat.format(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:32:16 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperResources.getString(WrapperResources.java:194)
INFO   | jvm 1    | 2016/12/22 16:32:16 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.showUsage(WrapperSimpleApp.java:597)
INFO   | jvm 1    | 2016/12/22 16:32:16 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.start(WrapperSimpleApp.java:441)
INFO   | jvm 1    | 2016/12/22 16:32:16 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperManager$11.run(WrapperManager.java:4253)
INFO   | jvm 1    | 2016/12/22 16:32:16 | WrapperManager Error: Caused by: java.lang.NumberFormatException: For input string: "app_class{/app_method}"
INFO   | jvm 1    | 2016/12/22 16:32:16 | WrapperManager Error: 	at java.lang.NumberFormatException.forInputString(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:32:16 | WrapperManager Error: 	at java.lang.Integer.parseInt(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:32:16 | WrapperManager Error: 	at java.lang.Integer.parseInt(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:32:16 | WrapperManager Error: 	... 8 more
